gene	ensembl_id	chrom	start_hg38	end_hg38	start_hg19	end_hg19	strand	biotype	length_hg38	sources	n_sources	in_network	status	notes
MAP2K6	ENSG00000108984	17	69414683	69553865	67410839	67539472	1	protein_coding	139182	network	1	yes	ok	
MAP2K7	ENSG00000076984	19	7903823	7914480	7968728	7979363	1	protein_coding	10657	network	1	yes	ok	
MAP3K1	ENSG00000095015	5	56815381	56896152	56111401	56191979	1	protein_coding	80771	network	1	yes	ok	
MAP3K14	ENSG00000006062	17	45263119	45317112	43340488	43394414	-1	protein_coding	53993	network	1	yes	ok	
MAP3K5	ENSG00000197442	6	136557030	136793103	136878185	137113656	-1	protein_coding	236073	network	1	yes	ok	
MAP3K7	ENSG00000135341	6	90513472	90587233	91223292	91296764	-1	protein_coding	73761	network	1	yes	ok	
MAP4K2	ENSG00000168067	11	64784918	64803245	64556290	64570713	-1	protein_coding	18327	network	1	yes	ok	
MAPK1	ENSG00000100030	22	21755537	21867680	22108789	22221970	-1	protein_coding	112143	network	1	yes	ok	
MAPK14	ENSG00000112062	6	36027700	36122511	35995488	36079013	1	protein_coding	94811	network	1	yes	ok	
MAPK3	ENSG00000102882	16	30114104	30123506	30125426	30134827	-1	protein_coding	9402	baxter;network	2	yes	ok	
MAPK8	ENSG00000107643	10	48306637	48439360	49514698	49647403	1	protein_coding	132723	network	1	yes	ok	
MASP1	ENSG00000127241	3	187216086	187292278	186935942	187009810	-1	protein_coding	76192	baxter	1		ok	
MATN1	ENSG00000162510	1	30711277	30723585	31184124	31196434	-1	protein_coding	12308	baxter	1		ok	
MBTPS1	ENSG00000140943	16	84052703	84116966	84087368	84150511	-1	protein_coding	64263	baxter	1		ok	
MC1R	ENSG00000258839	16	89912119	89920977	89978527	89987385	1	protein_coding	8858	baxter;darcy;network	3	yes	ok	
MC2R	ENSG00000185231	18	13882041	13915707	13882043	13915706	-1	protein_coding	33666	baxter;darcy	2		ok	
MCL1	ENSG00000143384	1	150560895	150579738	150547032	150552066	-1	protein_coding	18843	network	1	yes	ok	
MCM2	ENSG00000073111	3	127598223	127622442	127317066	127341276	1	protein_coding	24219	baxter	1		ok	
MCM4	ENSG00000104738	8	47960185	47979181	48872745	48890720	1	protein_coding	18996	baxter;darcy	2		ok	
MCOLN3	ENSG00000055732	1	85018082	85048887	85483765	85514182	-1	protein_coding	30805	baxter	1		ok	
MCRS1	ENSG00000187778	12	49556544	49568150	49950327	49961936	-1	protein_coding	11606	baxter	1		ok	
MDM2	ENSG00000135679	12	68808141	68845544	69201956	69239214	1	protein_coding	37403	baxter	1		ok	
MDM4	ENSG00000198625	1	204516369	204558120	204485511	204542871	1	protein_coding	41751	baxter	1		ok	
MDN1	ENSG00000112159	6	89642498	89819809	90352218	90529442	-1	protein_coding	177311	baxter	1		ok	
MED12	ENSG00000184634	X	71118543	71144103	70338406	70362303	1	protein_coding	25560	baxter	1		ok	
MED14	ENSG00000180182	X	40648305	40735924	40507558	40595110	-1	protein_coding	87619	baxter	1		ok	
MED23	ENSG00000112282	6	131572244	131628313	131895106	131949369	-1	protein_coding	56069	baxter	1		ok	
MEF2C	ENSG00000081189	5	88717117	88904257	88013975	88199922	-1	protein_coding	187140	baxter	1		ok	
MEMO1	ENSG00000162959	2	31865060	32011230	32090129	32236299	-1	protein_coding	146170	baxter	1		ok	
MEN1	ENSG00000133895	11	64803500	64811294	64570982	64578766	-1	protein_coding	7794	baxter;darcy	2		ok	
MEOX1	ENSG00000005102	17	43640072	43661929	41717756	41739322	-1	protein_coding	21857	baxter	1		ok	
MEPCE	ENSG00000146834	7	100428322	100435138	100026413	100031741	1	protein_coding	6816	baxter	1		ok	
MESP1	ENSG00000166823	15	89749875	89751301	90291892	90294541	-1	protein_coding	1426	baxter	1		ok	
MET	ENSG00000105976	7	116672051	116798391	116312444	116438440	1	protein_coding	126340	network	1	yes	ok	
MFSD12	ENSG00000161091	19	3538261	3574290	3538259	3574288	-1	protein_coding	36029	baxter	1		ok	
MGRN1	ENSG00000102858	16	4616493	4690977	4666494	4740975	1	protein_coding	74484	baxter	1		ok	
MIB1	ENSG00000101752	18	21704957	21870953	19284918	19450918	1	protein_coding	165996	baxter	1		ok	
MIB2	ENSG00000197530	1	1615433	1630610	1550795	1565990	1	protein_coding	15177	baxter	1		ok	
MITF	ENSG00000187098	3	69738536	69968336	69788586	70017488	1	protein_coding	229800	baxter;darcy;network	3	yes	ok	
MKKS	ENSG00000125863	20	10401009	10434236	10381657	10414870	-1	protein_coding	33227	baxter	1		ok	
MKLN1	ENSG00000128585	7	131110096	131496632	130794855	131181395	1	protein_coding	386536	baxter	1		ok	
MLANA	ENSG00000120215	9	5890873	5910606	5890802	5910606	1	protein_coding	19733	baxter;network	2	yes	ok	
MLH1	ENSG00000076242	3	36992834	37051505	37034823	37107380	1	protein_coding	58671	baxter;darcy	2		ok	
MLPH	ENSG00000115648	2	237485428	237555322	238394071	238463961	1	protein_coding	69894	baxter;darcy	2		ok	
MMP1	ENSG00000196611	11	102789401	102798167	102660651	102668891	-1	protein_coding	8766	network	1	yes	ok	
MMP17	ENSG00000198598	12	131828393	131853860	132312938	132336328	1	protein_coding	25467	baxter	1		ok	
MMPs										network	1	yes	unresolved	not on a primary assembly / symbol unresolved
MNT	ENSG00000070444	17	2384073	2401142	2287354	2304412	-1	protein_coding	17069	bajpai	1		ok	
MPND	ENSG00000008382	19	4343527	4360086	4343524	4360083	1	protein_coding	16559	baxter	1		ok	
MPP5	ENSG00000072415	14			67707826	67802536	1	protein_coding		baxter	1		hg19_only	not on a primary assembly / symbol unresolved
MPV17	ENSG00000115204	2	27309486	27325680	27532360	27548547	-1	protein_coding	16194	baxter	1		ok	
MPZL3	ENSG00000160588	11	118226690	118252375	118097409	118123065	-1	protein_coding	25685	baxter	1		ok	
MRAP	ENSG00000170262	21	32291813	32314784	33664124	33687095	1	protein_coding	22971	baxter;darcy	2		ok	
MREG	ENSG00000118242	2	215942584	216034096	216809213	216898819	-1	protein_coding	91512	baxter	1		ok	
MSH2	ENSG00000095002	2	47403067	47663146	47630108	47789450	1	protein_coding	260079	baxter;darcy	2		ok	
MSH6	ENSG00000116062	2	47695530	47810109	47922669	48037240	1	protein_coding	114579	baxter;darcy	2		ok	
MSMO1	ENSG00000052802	4	165327660	165343318	166248775	166264312	1	protein_coding	15658	bajpai	1		ok	
MSN	ENSG00000147065	X	65588377	65766886	64808257	64961791	1	protein_coding	178509	network	1	yes	ok	
MTAP	ENSG00000099810	9	21802614	21937651	21802542	21931646	1	protein_coding	135037	darcy	1		ok	
MTMR6	ENSG00000139505	13	25245495	25287546	25802307	25862147	-1	protein_coding	42051	bajpai	1		ok	
MTMR9	ENSG00000104643	8	11284450	11328146	11141925	11185646	1	protein_coding	43696	bajpai	1		ok	
MTREX	ENSG00000039123	5	55307736	55426075			1	protein_coding	118339	baxter	1		hg38_only	not on a primary assembly / symbol unresolved
MYC	ENSG00000136997	8	127735434	127742951	128747680	128753674	1	protein_coding	7517	baxter	1		ok	
MYCBP2	ENSG00000005810	13	77042474	77327105	77618792	77901185	-1	protein_coding	284631	baxter	1		ok	
MYD88	ENSG00000172936	3	38138552	38143024	38179969	38184513	1	protein_coding	4472	network	1	yes	ok	
MYH8	ENSG00000133020	17	10390322	10421950	10293639	10325267	-1	protein_coding	31628	darcy	1		ok	
MYH9	ENSG00000100345	22	36281277	36388018	36677327	36784063	-1	protein_coding	106741	baxter	1		ok	
MYO10	ENSG00000145555	5	16661907	16936317	16665395	16936372	-1	protein_coding	274410	baxter	1		ok	
MYO5A	ENSG00000197535	15	52307281	52529248	52599480	52821247	-1	protein_coding	221967	baxter;darcy	2		ok	
MYO6	ENSG00000196586	6	75748788	75919537	76458909	76629254	1	protein_coding	170749	baxter	1		ok	
MYRIP	ENSG00000170011	3	39808914	40260321	39850405	40301812	1	protein_coding	451407	baxter	1		ok	
MYSM1	ENSG00000162601	1	58643440	58700108	59120411	59165764	-1	protein_coding	56668	baxter	1		ok	
NAA10	ENSG00000102030	X	153928799	153935083	153194695	153200676	-1	protein_coding	6284	baxter	1		ok	
NARS1	ENSG00000134440	18	57589520	57622213			-1	protein_coding	32693	darcy	1		hg38_only	not on a primary assembly / symbol unresolved
NBN	ENSG00000104320	8	89924515	90003228	90945564	91015456	-1	protein_coding	78713	baxter;darcy	2		ok	
NCOR1	ENSG00000141027	17	16029065	16218185	15932471	16121499	-1	protein_coding	189120	bajpai	1		ok	
NCSTN	ENSG00000162736	1	160343294	160358957	160313062	160328742	1	protein_coding	15663	baxter	1		ok	
NEK6	ENSG00000119408	9	124257606	124412783	127019885	127115586	1	protein_coding	155177	darcy	1		ok	
NF1	ENSG00000196712	17	31094883	31382116	29421945	29709134	1	protein_coding	287233	baxter;darcy	2		ok	
NF2	ENSG00000186575	22	29603520	29698598	29999545	30094587	1	protein_coding	95078	bajpai	1		ok	
NFATC1	ENSG00000131196	18	79395856	79531338	77155856	77289325	1	protein_coding	135482	network	1	yes	ok	
NFIB	ENSG00000147862	9	14081843	14398983	14081842	14398982	-1	protein_coding	317140	baxter	1		ok	
NFIX	ENSG00000008441	19	12995401	13098796	13106422	13209610	1	protein_coding	103395	darcy	1		ok	
NFKB1	ENSG00000109320	4	102500911	102617302	103422486	103538459	1	protein_coding	116391	network	1	yes	ok	
NGF	ENSG00000134259	1	115285904	115338770	115828539	115880857	-1	protein_coding	52866	network	1	yes	ok	
NHP2	ENSG00000145912	5	178139872	178153968	177576461	177580968	-1	protein_coding	14096	darcy	1		ok	
NID1	ENSG00000116962	1	235975830	236083915	236139130	236228462	-1	protein_coding	108085	darcy	1		ok	
NINL	ENSG00000101004	20	25451594	25585586	25433341	25566153	-1	protein_coding	133992	baxter	1		ok	
NLRP1	ENSG00000091592	17	5499415	5619424	5402747	5522744	-1	protein_coding	120009	darcy	1		ok	
NNT	ENSG00000112992	5	43602584	43707405	43602794	43707507	1	protein_coding	104821	baxter;darcy	2		ok	
NOC3L	ENSG00000173145	10	94320340	94362982	96075004	96122716	-1	protein_coding	42642	baxter	1		ok	
NOP10	ENSG00000182117	15	34339159	34343180	34633917	34635378	-1	protein_coding	4021	darcy	1		ok	
NOS2	ENSG00000007171	17	27755283	27800758	26083792	26127525	-1	protein_coding	45475	network	1	yes	ok	
NOTCH1	ENSG00000148400	9	136494433	136546048	139388896	139440314	-1	protein_coding	51615	baxter	1		ok	
NOTCH2	ENSG00000134250	1	119909256	120100779	120454176	120612240	-1	protein_coding	191523	baxter	1		ok	
NOTO	ENSG00000214513	2	73202570	73212513	73429386	73439641	1	protein_coding	9943	baxter	1		ok	
NOX1	ENSG00000007952	X	100843324	100874464	100098313	100129334	-1	protein_coding	31140	network	1	yes	ok	
NR0B1	ENSG00000169297	X	30304206	30309394	30322323	30327715	-1	protein_coding	5188	baxter;darcy	2		ok	
NR3C1	ENSG00000113580	5	143277931	143435512	142657496	142815077	-1	protein_coding	157581	baxter	1		ok	
NR4A3	ENSG00000119508	9	99821847	99866891	102584137	102629173	1	protein_coding	45044	baxter	1		ok	
NRARP	ENSG00000198435	9	137299631	137302271	140194083	140196703	-1	protein_coding	2640	baxter	1		ok	
NRAS	ENSG00000213281	1	114704468	114716775	115247090	115259515	-1	protein_coding	12307	baxter;darcy	2		ok	
NRROS	ENSG00000174004	3	196639676	196707522	196366557	196388875	1	protein_coding	67846	darcy	1		ok	
NSD1	ENSG00000165671	5	177131787	177300213	176560026	176727216	1	protein_coding	168426	darcy	1		ok	
NSDHL	ENSG00000147383	X	152830967	152880958	151999511	152038273	1	protein_coding	49991	baxter	1		ok	
NSF	ENSG00000073969	17	46590661	46757679	44668035	44834830	1	protein_coding	167018	baxter	1		ok	
NSMAF	ENSG00000035681	8	58582788	58659997	59496063	59572403	-1	protein_coding	77209	network	1	yes	ok	
NSMCE2	ENSG00000156831	8	125091673	125368070	126103921	126379362	1	protein_coding	276397	baxter	1		ok	
NTRK1	ENSG00000198400	1	156815636	156881850	156785432	156851642	1	protein_coding	66214	network	1	yes	ok	
NUP88	ENSG00000108559	17	5359641	5420164	5264258	5323480	-1	protein_coding	60523	baxter	1		ok	
OAT	ENSG00000065154	10	124397298	124419760	126085872	126107545	-1	protein_coding	22462	baxter	1		ok	
OCA2	ENSG00000104044	15	27754859	28099664	28000021	28344504	-1	protein_coding	344805	bajpai;baxter;darcy;network	4	yes	ok	
OCRL	ENSG00000122126	X	129539849	129592772	128673826	128726538	1	protein_coding	52923	baxter	1		ok	
OPHN1	ENSG00000079482	X	67949349	68434120	67262186	67653755	-1	protein_coding	484771	baxter	1		ok	
OPTN	ENSG00000123240	10	13099442	13159480	13141449	13180291	1	protein_coding	60038	baxter	1		ok	
OSTM1	ENSG00000081087	6	108029245	108165854	108362613	108487058	-1	protein_coding	136609	baxter	1		ok	
OTUD5	ENSG00000068308	X	48922024	48958390	48779305	48815648	-1	protein_coding	36366	baxter	1		ok	
OVOL1	ENSG00000172818	11	65786714	65797219	65554493	65564690	1	protein_coding	10505	baxter	1		ok	
PAFAH1B1	ENSG00000007168	17	2593183	2685627	2496504	2588909	1	protein_coding	92444	baxter	1		ok	
PAH	ENSG00000171759	12	102836889	102958410	103230663	103352188	-1	protein_coding	121521	baxter;darcy	2		ok	
PAICS	ENSG00000128050	4	56435058	56464578	57301907	57327534	1	protein_coding	29520	baxter	1		ok	
PAK1	ENSG00000149269	11	77321548	77474635	77032752	77185680	-1	protein_coding	153087	baxter;network	2	yes	ok	
PALB2	ENSG00000083093	16	23603158	23641342	23614488	23652631	-1	protein_coding	38184	baxter;darcy	2		ok	
PAQR7	ENSG00000182749	1	25861211	25875968	26187701	26197744	-1	protein_coding	14757	baxter	1		ok	
PARD3	ENSG00000148498	10	34109560	34815424	34398488	35104253	-1	protein_coding	705864	baxter	1		ok	
PARD6A	ENSG00000102981	16	67660350	67664266	67694849	67696681	1	protein_coding	3916	network	1	yes	ok	
PARN	ENSG00000140694	16	14435699	14632728	14529558	14726585	-1	protein_coding	197029	baxter;darcy	2		ok	
PARP12	ENSG00000059378	7	140023742	140063344	139723544	139763521	-1	protein_coding	39602	darcy	1		ok	
PARP3	ENSG00000041880	3	51942252	51949371	51976361	51982883	1	protein_coding	7119	baxter	1		ok	
PAX3	ENSG00000135903	2	222199887	222299011	223064607	223163715	-1	protein_coding	99124	baxter;darcy;network	3	yes	ok	
PAX7	ENSG00000009709	1	18630846	18748876	18957500	19075360	1	protein_coding	118030	baxter	1		ok	
PCBD1	ENSG00000166228	10	70882280	70888616	72642037	72648541	-1	protein_coding	6336	baxter	1		ok	
PCDH10	ENSG00000138650	4	133149285	133208606	134070470	134129356	1	protein_coding	59321	baxter	1		ok	
PCNT	ENSG00000160299	21	46324082	46445769	47744036	47865682	1	protein_coding	121687	baxter;darcy	2		ok	
PDCD10	ENSG00000114209	3	167677517	167735039	167401086	167452727	-1	protein_coding	57522	bajpai	1		ok	
PDE4B	ENSG00000184588	1	65792514	66374582	66258197	66840259	1	protein_coding	582068	network	1	yes	ok	
PDHB	ENSG00000168291	3	58425143	58434012	58413357	58419584	-1	protein_coding	8869	baxter	1		ok	
PDPK1	ENSG00000140992	16	2537969	2603190	2587965	2653189	1	protein_coding	65221	network	1	yes	ok	
PEPD	ENSG00000124299	19	33386950	33521823	33877856	34012700	-1	protein_coding	134873	baxter	1		ok	
PFAS	ENSG00000178921	17	8247618	8271150	8150936	8173809	1	protein_coding	23532	baxter	1		ok	
PIAS3	ENSG00000131788	1	145848521	145859836	145575233	145586546	-1	protein_coding	11315	network	1	yes	ok	
PICALM	ENSG00000073921	11	85957157	86069882	85668727	85780924	-1	protein_coding	112725	baxter	1		ok	
PIGK	ENSG00000142892	1	77088981	77219508	77554675	77685115	-1	protein_coding	130527	baxter	1		ok	
PIK3CA	ENSG00000121879	3	179148114	179240093	178865902	178957881	1	protein_coding	91979	network	1	yes	ok	
PIKFYVE	ENSG00000115020	2	208266229	208358755	209130991	209223475	1	protein_coding	92526	baxter	1		ok	
PKC										network	1	yes	unresolved	not on a primary assembly / symbol unresolved
PKN2	ENSG00000065243	1	88684218	88836255	89149905	89301938	1	protein_coding	152037	baxter	1		ok	
PKNOX1	ENSG00000160199	21	42974328	43034494	44394620	44453691	1	protein_coding	60166	baxter	1		ok	
PLA2										network	1	yes	unresolved	not on a primary assembly / symbol unresolved
PLA2G1B	ENSG00000170890	12	120322115	120327785	120759914	120765592	-1	protein_coding	5670	network	1	yes	ok	
PLA2G6	ENSG00000184381	22	38111495	38214778	38507502	38601697	-1	protein_coding	103283	darcy	1		ok	
PLC										network	1	yes	unresolved	not on a primary assembly / symbol unresolved
PLCB1	ENSG00000182621	20	8077251	8968360	8112824	8949003	1	protein_coding	891109	network	1	yes	ok	
PLCB3	ENSG00000149782	11	64251498	64269424	64018995	64036622	1	protein_coding	17926	darcy	1		ok	
PLK4	ENSG00000142731	4	127880890	127899224	128802016	128820350	1	protein_coding	18334	baxter	1		ok	
PLXNB2	ENSG00000196576	22	50274976	50307695	50713408	50746056	-1	protein_coding	32719	baxter	1		ok	
PMAIP1	ENSG00000141682	18	59899644	59904305	57567180	57571538	1	protein_coding	4661	network	1	yes	ok	
PMCH	ENSG00000183395	12	102196459	102197833	102590237	102591623	-1	protein_coding	1374	baxter	1		ok	
PMEL	ENSG00000185664	12	55954104	55973317	56347889	56367101	-1	protein_coding	19213	baxter;network	2	yes	ok	
PMS2	ENSG00000122512	7	5970925	6009130	6012870	6048756	-1	protein_coding	38205	baxter;darcy	2		ok	
PNN	ENSG00000100941	14	39174876	39183432	39644387	39652422	1	protein_coding	8556	baxter	1		ok	
POC1B	ENSG00000139323	12	89357869	89526201	89813495	89919801	-1	protein_coding	168332	baxter	1		ok	
POFUT1	ENSG00000101346	20	32207844	32238658	30795683	30826470	1	protein_coding	30814	baxter;darcy	2		ok	
POGLUT1	ENSG00000163389	3	119468791	119494708	119187785	119213555	1	protein_coding	25917	baxter;darcy	2		ok	
POGZ	ENSG00000143442	1	151402724	151459511	151375200	151431941	-1	protein_coding	56787	baxter	1		ok	
POLA1	ENSG00000101868	X	24693864	24996986	24712036	25015103	1	protein_coding	303122	baxter;darcy	2		ok	
POLG	ENSG00000140521	15	89305198	89334972	89859534	89878092	-1	protein_coding	29774	baxter	1		ok	
POLH	ENSG00000170734	6	43575537	43628361	43543887	43586701	1	protein_coding	52824	baxter;darcy	2		ok	
POLR1A	ENSG00000068654	2	86020216	86106155	86247339	86333278	-1	protein_coding	85939	baxter	1		ok	
POLR2G	ENSG00000168002	11	62761453	62766715	62529016	62534182	1	protein_coding	5262	baxter	1		ok	
POMC	ENSG00000115138	2	25160361	25168952	25383722	25391772	-1	protein_coding	8591	baxter;darcy;network	3	yes	ok	
PPARGC1A	ENSG00000109819	4	23755041	23904089	23756664	23905712	-1	protein_coding	149048	baxter	1		ok	
PPARGC1B	ENSG00000155846	5	149729994	149855022	149109861	149234585	1	protein_coding	125028	darcy	1		ok	
PPP3CA	ENSG00000138814	4	101023409	101348278	101944566	102269435	-1	protein_coding	324869	darcy;network	2	yes	ok	
PPP4C	ENSG00000149923	16	30075967	30085391	30087299	30096698	1	protein_coding	9424	baxter	1		ok	
PRDM1	ENSG00000057657	6	105993463	106109939	106534195	106557814	1	protein_coding	116476	baxter	1		ok	
PRICKLE2	ENSG00000163637	3	64092236	64445476	64079543	64431152	-1	protein_coding	353240	baxter	1		ok	
PRKACA	ENSG00000072062	19	14091688	14118084	14202500	14228896	-1	protein_coding	26396	network	1	yes	ok	
PRKAR1A	ENSG00000108946	17	68511740	68551319	66507921	66547460	1	protein_coding	39579	baxter;darcy	2		ok	
PRKCA	ENSG00000154229	17	66302567	66810743	64298754	64806861	1	protein_coding	508176	network	1	yes	ok	
PRKCB	ENSG00000166501	16	23835939	24220611	23847322	24231932	1	protein_coding	384672	network	1	yes	ok	
PRKCD	ENSG00000163932	3	53156009	53192717	53190025	53226733	1	protein_coding	36708	network	1	yes	ok	
PRKCH	ENSG00000027075	14	61187559	61550980	61654277	62017694	1	protein_coding	363421	network	1	yes	ok	
PRKCZ	ENSG00000067606	1	2050396	2185721	1981909	2116834	1	protein_coding	135325	network	1	yes	ok	
PRKDC	ENSG00000253729	8	47772970	47960182	48685669	48872743	-1	protein_coding	187212	baxter	1		ok	
PRKG1	ENSG00000185532	10	50990888	52298423	52750945	54058110	1	protein_coding	1307535	network	1	yes	ok	
PRPS1	ENSG00000147224	X	107628428	107651993	106871737	106894256	1	protein_coding	23565	baxter	1		ok	
PRSS1	ENSG00000204983	7	142749468	142753072	142457319	142460923	1	protein_coding	3604	network	1	yes	ok	
PSEN1	ENSG00000080815	14	73136418	73223691	73603126	73690399	1	protein_coding	87273	baxter	1		ok	
PSEN2	ENSG00000143801	1	226870184	226927726	227057885	227083806	1	protein_coding	57542	baxter	1		ok	
PSENEN	ENSG00000205155	19	35745070	35747519	36236015	36237911	1	protein_coding	2449	bajpai;baxter;darcy	3		ok	
PTCH1	ENSG00000185920	9	95442980	95517057	98205262	98279339	-1	protein_coding	74077	baxter	1		ok	
PTCH2	ENSG00000117425	1	44819154	44843253	45285516	45308735	-1	protein_coding	24099	baxter	1		ok	
PTEN	ENSG00000171862	10	87862638	87971930	89622870	89731687	1	protein_coding	109292	baxter;darcy	2		ok	
PTGER1	ENSG00000160951	19	14472466	14477272	14583278	14586174	-1	protein_coding	4806	network	1	yes	ok	
PTGER2	ENSG00000125384	14	52314226	52329822	52781023	52795324	1	protein_coding	15596	network	1	yes	ok	
PTGER3	ENSG00000050628	1	70852305	71047823	71318036	71513491	-1	protein_coding	195518	network	1	yes	ok	
PTGER4	ENSG00000171522	5	40679441	40693753	40679600	40693837	1	protein_coding	14312	network	1	yes	ok	
PTGS2	ENSG00000073756	1	186671791	186680922	186640923	186649559	-1	protein_coding	9131	network	1	yes	ok	
PTPN1	ENSG00000196396	20	50510321	50585241	49126891	49201299	1	protein_coding	74920	darcy	1		ok	
PTPN11	ENSG00000179295	12	112418351	112509918	112856155	112947717	1	protein_coding	91567	baxter;darcy	2		ok	
PTPN21	ENSG00000070778	14	88465778	88555019	88932122	89021077	-1	protein_coding	89241	baxter	1		ok	
PTPN22	ENSG00000134242	1	113813811	113871753	114356433	114414381	-1	protein_coding	57942	darcy	1		ok	
PTPN6	ENSG00000111679	12	6946417	6961316	7055631	7070479	1	protein_coding	14899	baxter	1		ok	
PTPRC	ENSG00000081237	1	198629900	198759346	198607801	198726545	1	protein_coding	129446	darcy	1		ok	
PTS	ENSG00000150787	11	112226059	112270449	112097088	112140678	1	protein_coding	44390	baxter	1		ok	
PXDN	ENSG00000130508	2	1630844	1744852	1635659	1748624	-1	protein_coding	114008	baxter	1		ok	
Phosphodiesterase										network	1	yes	unresolved	not on a primary assembly / symbol unresolved
QKI	ENSG00000112531	6	163414000	163578827	163835032	163999628	1	protein_coding	164827	bajpai	1		ok	
RAB11A	ENSG00000103769	15	65726054	65894232	66018392	66184329	1	protein_coding	168178	baxter	1		ok	
RAB11B	ENSG00000185236	19	8389981	8405875	8454865	8469318	1	protein_coding	15894	baxter	1		ok	
RAB14	ENSG00000119396	9	121178133	121223014	123940415	123985292	-1	protein_coding	44881	bajpai	1		ok	
RAB17	ENSG00000124839	2	237574105	237601638	238482965	238510257	-1	protein_coding	27533	baxter	1		ok	
RAB1A	ENSG00000138069	2	65070696	65130986	65297835	65357240	-1	protein_coding	60290	baxter	1		ok	
RAB21	ENSG00000080371	12	71754835	71800286	72148654	72184699	1	protein_coding	45451	bajpai	1		ok	
RAB27A	ENSG00000069974	15	55202966	55319174	55495164	55611311	-1	protein_coding	116208	bajpai;baxter;darcy	3		ok	
RAB32	ENSG00000118508	6	146543755	146554964	146864829	146876101	1	protein_coding	11209	bajpai;baxter	2		ok	
RAB36	ENSG00000100228	22	23145366	23165663	23487513	23506537	1	protein_coding	20297	baxter	1		ok	
RAB38	ENSG00000123892	11	88106130	88175512	87846410	87908635	-1	protein_coding	69382	baxter	1		ok	
RAB3IP	ENSG00000127328	12	69738785	69823204	70132461	70216984	1	protein_coding	84419	baxter	1		ok	
RAB5C	ENSG00000108774	17	42124976	42155044	40276994	40307035	-1	protein_coding	30068	darcy	1		ok	
RAB7A	ENSG00000075785	3	128693669	128825980	128444965	128533639	1	protein_coding	132311	bajpai;baxter	2		ok	
RAB8A	ENSG00000167461	19	16111653	16134235	16222439	16245044	1	protein_coding	22582	baxter	1		ok	
RAB9A	ENSG00000123595	X	13689117	13712064	13707244	13728625	1	protein_coding	22947	bajpai;baxter	2		ok	
RABGGTA	ENSG00000100949	14	24265468	24271620	24734744	24740945	-1	protein_coding	6152	baxter	1		ok	
RAC1	ENSG00000136238	7	6374098	6404016	6414154	6443608	1	protein_coding	29918	baxter;network	2	yes	ok	
RACK1	ENSG00000204628	5	181235391	181248096			-1	protein_coding	12705	baxter;network	2	yes	hg38_only	not on a primary assembly / symbol unresolved
RAD21	ENSG00000164754	8	116845934	116874924	117858174	117887105	-1	protein_coding	28990	baxter	1		ok	
RAD50	ENSG00000113522	5	132556019	132646349	131891711	131980313	1	protein_coding	90330	baxter	1		ok	
RADIL	ENSG00000157927	7	4797055	4883716	4836686	4923350	-1	protein_coding	86661	baxter	1		ok	
RAF1	ENSG00000132155	3	12582101	12664201	12625100	12705725	-1	protein_coding	82100	baxter;darcy;network	3	yes	ok	
RAG1	ENSG00000166349	11	36510348	36593156	36532259	36614706	1	protein_coding	82808	baxter	1		ok	
RALY	ENSG00000125970	20	33993632	34108308	32581452	32696114	1	protein_coding	114676	darcy	1		ok	
RAP1A	ENSG00000116473	1	111542009	111716691	112084840	112259313	1	protein_coding	174682	network	1	yes	ok	
RAPGEF2	ENSG00000109756	4	159103013	159360175	160025330	160281321	1	protein_coding	257162	baxter	1		ok	
RAPH1	ENSG00000173166	2	203394345	203535478	204259068	204400133	-1	protein_coding	141133	baxter	1		ok	
RAX	ENSG00000134438	18	59267035	59274086	56934267	56941318	-1	protein_coding	7051	baxter	1		ok	
RB1	ENSG00000139687	13	48303710	48599436	48877887	49056122	1	protein_coding	295726	bajpai;baxter	2		ok	
RBBP6	ENSG00000122257	16	24537693	24572863	24549014	24584184	1	protein_coding	35170	bajpai	1		ok	
RBM5	ENSG00000003756	3	50088898	50119021	50126341	50156454	1	protein_coding	30123	bajpai	1		ok	
RBPJ	ENSG00000168214	4	26163455	26435131	26165077	26436541	1	protein_coding	271676	baxter	1		ok	
RDX	ENSG00000137710	11	109864295	110297617	110045605	110167447	-1	protein_coding	433322	network	1	yes	ok	
RECQL4	ENSG00000160957	8	144511284	144517890	145736667	145743229	-1	protein_coding	6606	baxter;darcy	2		ok	
RERE	ENSG00000142599	1	8352397	8848921	8412457	8877702	-1	protein_coding	496524	darcy	1		ok	
REST	ENSG00000084093	4	56907853	56967011	57774075	57802010	1	protein_coding	59158	baxter	1		ok	
RFXANK	ENSG00000064490	19	19191957	19202844	19303008	19312678	1	protein_coding	10887	darcy	1		ok	
RHBDF2	ENSG00000129667	17	76470884	76501790	74466973	74497872	-1	protein_coding	30906	baxter	1		ok	
RHOA	ENSG00000067560	3	49359136	49412998	49396578	49450431	-1	protein_coding	53862	network	1	yes	ok	
RIC8B	ENSG00000111785	12	106774322	106889316	107168373	107283090	1	protein_coding	114994	baxter	1		ok	
RILP	ENSG00000167705	17	1646138	1650083	1549444	1553371	-1	protein_coding	3945	baxter	1		ok	
RIPK1	ENSG00000137275	6	3063824	3115188	3064225	3115421	1	protein_coding	51364	network	1	yes	ok	
RIT1	ENSG00000143622	1	155897808	155911408	155867599	155881195	-1	protein_coding	13600	baxter;darcy	2		ok	
RNASET2	ENSG00000026297	6	166922113	166957448	167342992	167370679	-1	protein_coding	35335	darcy	1		ok	
